"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"60.515.443,20";"380.771.877,72";"369.567.167,04";"39.445.662,17";
"04/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"48.538.463,35";"16.884.258,15";"323.206.060,03";"798.629,21";
"03/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 1.048.371,52";"400.486.293,96";"400.156.051,59";"10.236.660,66";
"01/2026";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"4.622.302.579,55";"355.166.939,94";"55.693.928,70";"364.428.598,17";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.133.587,58";"2.323.031,96";"2.404.575,79";"1.345.575,59";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"616.258,16";"2.123.105,66";"2.255.123,45";"1.333.121,44";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"15.836.453,71";"2.414.868,93";"257.429,35";"3.977.241,38";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"598.169,74";"228.106,21";"2.170.791,92";"766.046,10";
"01/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"637.265.143,31";"45.153.058,36";"2.114.621,36";"64.535.365,66";
"03/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"290.875,05";"49.187.545,30";"47.519.742,50";"1.250.171,35";
"04/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"3.184.764,06";"11.995.570,52";"40.512.171,30";"1.563.576,27";
"02/2026";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 53.605.008,80";"45.975.429,43";"33.178.672,44";"18.564.784,65";
"02/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"9.343.901,56";"255.079.750,57";"246.509.540,01";"10.235.423,25";
"04/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"14.712.743,78";"172.301.084,84";"195.091.958,50";"892.090,93";
"01/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.993.846.878,06";"210.086.692,79";"189.229.548,25";"102.422.739,61";
"03/2026";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"- 255.639.776,92";"641.085.745,18";"643.848.685,11";"5.649.333,50";
"03/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"6.293.498.251,26";"603.841.581,36";"601.937.918,65";"1.434.578,26";
"02/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 1.056.498,02";"697.694.613,29";"692.515.091,15";"8.646.596,37";
"04/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 66.032.329,60";"11.748.035,32";"31.371.649,99";"1.311.091,83";
"01/2026";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"622.632.003,58";"400.891.887,32";"361.532.967,27";"367.479.209,58";
"02/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.338.099,15";"22.772.667,52";"20.113.095,63";"6.135.959,74";
"01/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"271.896.290,70";"21.232.625,26";"353.378,72";"31.196.993,64";
"03/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"12.009.656,34";"30.527.787,68";"28.594.004,28";"1.156.787,04";
"04/2026";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"3.382.671,83";"4.582.002,64";"29.098.920,76";"560.268,97";
"04/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"490.184,45";"1.911.090,66";"14.373.998,80";"732.169,24";
"03/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"7.226.546,86";"16.480.128,21";"14.894.552,91";"2.209.418,88";
"02/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"5.226.449,51";"14.576.486,20";"11.149.381,10";"4.301.218,50";
"01/2026";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"160.887.144,93";"12.172.009,43";"70.977,47";"19.471.725,29";
"03/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"3.292.311,72";"41.143.162,70";"42.729.601,35";"12.210.930,01";
"02/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"36.062.821,08";"33.417.993,78";"32.291.420,59";"4.369.433,86";
"01/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"381.094.657,56";"30.815.109,06";"342.958,51";"13.934.742,89";
"04/2026";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"9.268.553,96";"9.331.359,60";"29.362.420,13";"2.429.741,97";
"03/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"19.379.421,29";"74.049.324,15";"70.888.473,29";"3.501.793,43";
"04/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"12.073.903,79";"10.042.913,40";"61.856.579,51";"547.268,45";
"02/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"150.349.086,71";"66.410.777,79";"59.428.100,85";"14.833.363,51";
"01/2026";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"70.023.738,11";"63.950.806,29";"1.152.022,74";"82.983.650,34";
"01/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"181.882.372,25";"12.987.269,77";"371.121,94";"21.145.153,31";
"04/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"138.079.183,31";"2.480.252,30";"13.962.057,82";"956.860,91";
"02/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"6.174.997,05";"15.774.278,64";"13.867.370,62";"5.228.760,42";
"03/2026";"53000 - Ministério da Integração e do Desenvolvimento Regional";"44205 - Agência Nacional de Águas e Saneamento Básico";"9.960.356,30";"22.168.846,55";"22.891.459,01";"4.532.925,55";
"01/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"139.347.028,04";"10.538.518,13";"61.697,35";"11.877.025,27";
"02/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"5.978.721,05";"10.745.085,27";"10.946.125,78";"659.110,35";
"04/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"578.232,23";"301.536.212,54";"311.507.751,63";"272.987,79";
"03/2026";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.160.080.574,79";"11.864.620,93";"11.901.089,32";"869.666,66";
"04/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"41.475.225,96";"28.067.806,17";"55.932.001,00";"556.772,34";
"03/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.653.372.691,70";"3.668.599.971,65";"3.666.778.443,42";"1.861.834,43";
"02/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"1.896.984.531,85";"1.922.230.923,99";"1.921.215.533,27";"4.641.726.065,15";
"01/2026";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"370.283.292,56";"56.542.848,58";"28.489.916,17";"3.171.779.046,00";
"04/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"14.562.094,85";"6.834.122,16";"32.296.185,77";"497.211,11";
"03/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"376.561.058,95";"52.899.792,07";"65.522.154,52";"1.949.198,63";
"02/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"14.594.707,26";"46.130.139,06";"40.893.362,33";"14.711.978,14";
"01/2026";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"141.195.972,85";"42.945.230,98";"825.827,73";"62.430.526,62";
"03/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"127.297.465,67";"71.148.806,24";"63.890.274,97";"5.229.371,92";
"04/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"1.968.475,19";"14.380.657,47";"47.126.753,30";"900.492,55";
"02/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"19.298.636,41";"37.486.322,32";"31.950.623,59";"21.877.001,02";
"01/2026";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"480.068.865,22";"32.022.533,19";"3.350.029,32";"43.420.485,70";
"03/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"3.710.860,52";"2.448.195,66";"2.222.918,93";"1.471.189,79";
"02/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"110.374,26";"1.406.866,70";"736.864,31";"611.304,67";
"01/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"12.691.658,92";"556.023,62";"0,00";"1.482.570,89";
"04/2026";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"1.055.365,65";"994.339,00";"2.277.968,31";"134.871,70";
"01/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"385.985.261,86";"338.340.546,56";"15.716.577,43";"330.665.261,20";
"04/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"27.001.664,12";"23.272.116,97";"342.429.001,77";"7.968.896,80";
"02/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"369.092.313,71";"350.962.149,60";"350.069.080,29";"11.485.299,21";
"03/2026";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"368.183.377,53";"346.364.350,16";"343.880.738,98";"16.002.664,61";
"03/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"3.593.891,64";"2.656.087,85";"2.359.838,26";"18.753.540,18";
"02/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"1.330.490,57";"98.170,63";"98.038,25";"17.676.305,53";
"01/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"6.656,44";"1.981,90";"1.779,83";"14.747.259,44";
"04/2026";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"226.170.971,83";"328.639,66";"271.428,00";"6.884.523,33";
"03/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"209.646,20";"184.738,96";"193.667,16";"659.355,38";
"04/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"99.458,74";"62.530,04";"207.936,77";"756.987,58";
"01/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"2.007.843,06";"163.760,74";"6.981,46";"2.671.679,59";
"02/2026";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"92.004,34";"196.637,70";"177.474,78";"1.655.323,55";
"01/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"540.137.178,97";"41.330.610,63";"316.148,54";"59.298.434,55";
"04/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"5.372.982,30";"1.733.589,51";"42.197.897,22";"1.611.059,86";
"02/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"28.504.871,36";"40.957.574,51";"37.289.473,15";"8.742.105,96";
"03/2026";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"7.047.645,12";"43.405.111,74";"47.082.298,99";"4.223.946,44";
"03/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"4.697.167,75";"49.677.397,73";"62.817.078,43";"1.547.049,79";
"04/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"3.147.542,04";"3.017.814,49";"39.433.035,30";"164.174,80";
"02/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"2.491.872,48";"46.433.482,99";"42.875.916,58";"10.215.019,99";
"01/2026";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"613.200.397,22";"48.164.316,82";"321.246,49";"71.783.720,38";
"04/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"813.874,35";"1.746.179,77";"3.790.621,26";"322.289,99";
"03/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"3.763.299,50";"5.000.413,10";"4.445.595,10";"1.316.783,60";
"01/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"38.173.309,98";"2.510.403,32";"473.585,26";"3.578.575,18";
"02/2026";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24209 - Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"2.238.265,11";"3.604.321,75";"3.761.873,89";"850.819,97";
"02/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"4.961.777,27";"67.636.718,97";"68.827.952,15";"4.104.899,56";
"03/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"5.063.632,98";"71.336.551,29";"69.513.271,46";"4.197.812,84";
"01/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"736.249.952,32";"68.103.811,41";"522.534,62";"70.863.766,74";
"04/2026";"26000 - Ministério da Educação";"26201 - Colégio Pedro II";"3.541.602,29";"2.298.307,38";"69.495.055,13";"1.857.951,84";
"02/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.460.639.618,12";"2.022.170.470,14";"2.022.738.454,14";"416.852.353,27";
"01/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"2.167.520.774,82";"1.955.020.565,45";"306.120.784,97";"1.708.099.243,29";
"03/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"3.267.338.902,80";"2.321.070.486,72";"1.890.019.779,02";"345.759.275,67";
"04/2026";"52000 - Ministério da Defesa";"52111 - Comando da Aeronáutica";"1.409.392.017,50";"940.212.992,16";"2.888.040.009,26";"139.595.704,66";
"02/2026";"52000 - Ministério da Defesa";"52131 - Comando da Marinha";"326.189.330,60";"2.382.179.947,93";"2.394.957.751,64";"169.229.633,48";
