"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2025";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"158143 - IFB - REITORIA - BRASILIA-DF";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110202 - CONC/PERM/AUT/CESSAO DIR.USO IMOV.PUB-MUL.JUR";"0,00";"5,45";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26273 - Universidade Federal do Rio Grande";"154042 - UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.";"0,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"27.416,00";"0,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26258 - Universidade Tecnológica Federal do Paraná";"153019 - UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"4.824,07";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"154041 - FUNDACAO UNIVERSIDADE FEDERAL DO MARANHAO";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2025";"52000 - Ministério da Defesa";"52904 - Fundo do Exército";"167086 - FUNDO DO EXERCITO";"1 - Receitas Correntes";"15 - Receita Industrial";"151 - Receita da indústria extrativa mineral";"15110101 - RECEITA INDUSTRIAL-PRINCIPAL";"0,00";"3,00";"0,00%";"0,00";
"2025";"26000 - Ministério da Educação";"26412 - Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais";"158137 - INST.FED.DE EDUC.CIENCIA TEC DO SUL DE MINAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219901 - OUTRAS INDENIZACOES-PRINCIPAL";"0,00";"25.987,89";"0,00%";"0,00";
"2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53902 - Fundo Constitucional de Financiamento do Centro-Oeste";"537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11130341 - IRRF-OUTROS RENDIMENTOS-PRINCIPAL";"136.867.186,00";"0,00";"0,00%";"0,00";
"2025";"42000 - Ministério da Cultura";"34902 - Fundo Nacional de Cultura";"340002 - COORDENACAO-GERAL DE PROG. ORC.E FINANCEIRA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"133 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";"13330501 - CESS.DIR.EXPLR.SATELITE.BRASILEIRO/PRC";"63.471,00";"0,00";"0,00%";"0,00";
"2025";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410311 - ROYAL.EXCED.PROD.PETRO.TERRA(QQ SIT.)-PRINC.";"98.090.248,00";"0,00";"0,00%";"0,00";
